species_code	WL	HL.std	HW.std	SL.std	ML.std	EL.std	IO.std	DEM.std	FL.std	TL.std
Octostruma_iheringi	Oc.ihe	0.195519810899436	0.209699859809259	0.293476857827132	0.160851292608053	0.0939045028895467	0.0147232567188718	0.117385598577162	0.0939045022742962	0.181054678552515	0.128666608912124
Pachycondyla_harpax	Pa.har	0.551222975252205	0.18905623619009	0.218678702854834	0.178715402830695	0.154506967267229	0.0449671454469454	0.0449671456000165	0.162727297412815	0.216285889734408	0.165433190910531
Pheidole_fracticeps	Ph.fra	0.175144051480567	0.259065494095103	0.243038048769561	0.191068414926543	0.191068415114246	0.0685764146850268	0.0587056602239333	0.236457703504005	0.246291206310204	0.168404430441432
Pheidole_gr._Diligens_MPEG_01	Ph.D01	0.260912772512037	0.169142399151388	0.176091259055681	0.274377800812436	0.147602721083355	0.1249387366083	0.0202033859444621	0.117113399153873	0.326140716069251	0.234083205945475
Pheidole_gr._Fallax_MPEG_01	Ph.F01	0.256217651277123	0.196775857813979	0.184829873415584	0.303670091811364	0.139264591031578	0.066189519224778	0.0206845987153736	0.146883987848933	0.34625753559839	0.254978167827457
Pheidole_gr._Fallax_MPEG_02	Ph.F02	0.352182518111362	0.16400275944444	0.172099029532971	0.28894149605274	0.140002482961512	0.0558578174036007	0.015063746500033	0.110655717572781	0.341647846617226	0.271978198630741
Pheidole_gr._Tristis_MPEG_01	Ph.T01	0.137527863987669	0.214936755213533	0.269431009319174	0.239760338866183	0.170981852988641	0.0734289171369458	0.0400051613809265	0.188607816698461	0.252725315935137	0.198367653663212
Pheidole_scolioceps	Ph.sco	0.152767830488033	0.247345136524989	0.280345396954889	0.280345396954889	0.199040457293298	0.0655015487667341	0.0292893763819296	0.192606346675338	0.285609636908194	0.217789893168508
Pheidole_MPEG_26	Ph.M26	0.17892054919863	0.228479328128149	0.247784483673718	0.197810508582696	0.164810248735664	0.0621479070328062	0.0163904160619641	0.18708664271823	0.247784483673718	0.187086643271956
Rasopone_pr_arhuaca	Ra.arh	0.445712790402894	0.21731299587132	0.199869105553953	0.185391282154197	0.150935772881618	0.0377885609702425	0.0165992618558409	0.189056236248582	0.174207115176912	0.185391282154197
Rasopone_sp.1	Ra.M01	0.407924229598379	0.242111059083452	0.223143219971844	0.190958536536313	0.186762421933988	0.03125769378851	0.0190232373492666	0.21135169521934	0.199231062519242	0.15619643039681
Rhopalothrix_sp.1	Rh.M01	0.156743093747681	0.21857103987783	0.340041348141862	0.15944958750748	0.177178355021637	0.019163159157616	0.0493346278665527	0.0856633738592697	0.216592473909533	0.175001435784057
Rogeria_sp.1	Ro.M01	0.145722342596533	0.254084284032731	0.277252148921887	0.225394030354438	0.190101973511944	0.0208501388199378	0.0597682047415401	0.199197477934181	0.235859463955429	0.16649320037817
Solenopsis_MPEG_20	So.M20	0.129175789522039	0.232372709860699	0.260251443801467	0.200003416568057	0.170593787040652	0.0391521237099636	0.0502410959943115	0.194802223319066	0.202580839437925	0.181520010868311
Solenopsis_MPEG_15	So.M15	0.1206599386043	0.234083206127539	0.254286592329687	0.196294644938504	0.148653010820109	0.0299632231815675	0.0540969033486788	0.196294645513803	0.190617512228487	0.161062268716028
Solenopsis_MPEG_19	So.M19	0.137527863913839	0.220933481858881	0.242384482789129	0.162155480970473	0.158996961746731	0.0393097337476416	0.0475822598703462	0.192538110517268	0.195462663065531	0.158996961746731
Solenopsis_MPEG_21	So.M21	0.163613432170189	0.24126179071755	0.28200675831277	0.159223333771519	0.184285737721224	0.0413926848993404	0.0525290512321269	0.188325715291047	0.219359949229028	0.159223333771519
Solenopsis_MPEG_22	So.M22	0.157731249984867	0.215317882502478	0.234623037566546	0.2231432199605	0.142408145735805	0.0547387892276337	0.0372480571750891	0.160696931330262	0.190958536817283	0.160696931330262
Strumigenys_carinithorax	St.car	0.115251469162718	0.259403756216164	0.281937053883406	0.216208482011493	0.198834386048428	0.0271522458704064	0.084595495207691	0.0649408071513293	0.256826333478135	0.201778766676884
Typhlomyrmex_pr_meire	Ty.mei	0.177979498846834	0.217908267052248	0.21620848218521	0.163776741255316	0.142106761668881	0.0164941777550513	0.042664411954453	0.16760314849799	0.161850820233216	0.142106761565862
Typhlomyrmex_pr_pusillus	Ty.pus	0.177036405145235	0.203414386271593	0.213879819881159	0.177967264232978	0.138815139932182	0.0165992617115931	0.0579919466181247	0.17041412600755	0.154901960330923	0.142893052327234
Typhlomyrmex_pr_rogenhoferi	Ty.rog	0.199123935143092	0.204424857511003	0.216447618082588	0.176091259055681	0.147520006566218	0.0143978206032604	0.0351373068110626	0.145779344469014	0.176091259055681	0.149253719362511

